CITY,ORDERS_COUNT,AVG_DELIVERY_TIME_MINUTES,ORDERS_LATE_PERCENTAGE,DATE,DAY_NAME,POPULATION,ORDERS_PER_1K,AVG_DELIVERY_TIME_PER_1K,ORDERS_LATE_PER_1K,AVG_DELIVERY_TIME_PER_ORDER,ORDERS_LATE_PER_ORDER
Heraklion,4972,31.7,4.02,2025-03-05,Wednesday,149501,33.25730262673828,0.21203871546009725,0.02688945224446659,0.006375703942075623,0.0008085277554304102
Heraklion,5148,35.0,7.26,2025-03-06,Thursday,149501,34.43455227724229,0.23411214640704744,0.04856154808329041,0.006798756798756799,0.0014102564102564101
Heraklion,5555,36.3,8.17,2025-03-07,Friday,149501,37.156942094032814,0.24280774041645206,0.05464846388987365,0.006534653465346534,0.0014707470747074708
Heraklion,6028,37.8,10.65,2025-03-08,Saturday,149501,40.320800529762344,0.25284111811961124,0.07123698169243016,0.006270736562707365,0.0017667551426675514
Heraklion,5797,36.6,9.75,2025-03-09,Sunday,149501,38.77566036347583,0.24481441595708392,0.06521695507053464,0.006313610488183544,0.0016819044333275831
Heraklion,4961,36.2,8.83,2025-03-10,Monday,149501,33.18372452358178,0.2421388485695748,0.05906315007926369,0.007296915944366056,0.0017798830880870792
Heraklion,5236,37.5,10.26,2025-03-11,Tuesday,149501,35.0231771024943,0.2508344425789794,0.06862830348960876,0.007161955691367456,0.001959511077158136
Heraklion,5423,38.0,11.05,2025-03-12,Wednesday,149501,36.274004856154804,0.25417890181336583,0.07391254907993927,0.00700719159137009,0.0020376175548589342
Heraklion,5610,39.1,12.09,2025-03-13,Thursday,149501,37.52483260981532,0.26153671212901586,0.08086902428746297,0.00696969696969697,0.0021550802139037434
Heraklion,6039,39.8,13.78,2025-03-14,Friday,149501,40.394378632918844,0.26621895505715676,0.09217329649968896,0.006590495115085278,0.0022818347408511343
Heraklion,6512,39.6,15.46,2025-03-15,Saturday,149501,43.558237068648374,0.2648811713634023,0.10341067952722725,0.006081081081081081,0.0023740786240786242
Heraklion,6281,39.3,13.25,2025-03-16,Sunday,149501,42.01309690236186,0.2628744958227704,0.08862816971123938,0.006256965451361248,0.002109536697978029
Chania,2952,32.1,4.91,2025-03-03,Monday,54559,54.106563536721715,0.588353892116791,0.08999431807767738,0.010873983739837398,0.001663279132791328
Chania,3141,33.7,6.62,2025-03-04,Tuesday,54559,57.57070327535329,0.6176799428142011,0.12133653476053446,0.010729067176058581,0.002107609041706463
Chania,3267,31.4,4.41,2025-03-05,Wednesday,54559,59.880129767774335,0.575523744936674,0.08082992723473671,0.009611264156718702,0.001349862258953168
Chania,3393,34.7,7.66,2025-03-06,Thursday,54559,62.18955626019539,0.6360087245000825,0.14039846771385106,0.01022693781314471,0.0022575891541408784
Chania,3663,36.0,8.57,2025-03-07,Friday,54559,67.13832731538334,0.6598361406917282,0.15707765904800308,0.009828009828009828,0.0023396123396123396
Chania,3978,37.5,11.04,2025-03-08,Saturday,54559,72.91189354643598,0.6873293132205502,0.20234974981212997,0.00942684766214178,0.0027752639517345397
Chania,3825,36.3,10.12,2025-03-09,Sunday,54559,70.10758994849613,0.6653347751974925,0.18548727066111914,0.009490196078431372,0.002645751633986928
Chania,3249,35.9,9.2,2025-03-10,Monday,54559,59.55021169742847,0.65800326252314,0.1686247915101083,0.011049553708833487,0.0028316405047706986
Chania,3438,37.2,10.65,2025-03-11,Tuesday,54559,63.014351436060046,0.6818306787147859,0.19520152495463627,0.010820244328097733,0.0030977312390924956
Chania,3564,37.6,11.42,2025-03-12,Wednesday,54559,65.32377792848109,0.6891621913891384,0.2093146868527649,0.010549943883277218,0.0032042648709315375
Chania,3690,38.7,12.47,2025-03-13,Thursday,54559,67.63320442090215,0.709323851243608,0.22855990762294032,0.010487804878048781,0.0033794037940379404
Chania,3987,39.5,14.15,2025-03-14,Friday,54559,73.0768525816089,0.7239868765923129,0.25935226085522095,0.009907198394783046,0.003549034361675445
Chania,4302,39.3,15.85,2025-03-15,Saturday,54559,78.85041881266153,0.7203211202551366,0.29051118972121925,0.009135285913528591,0.003684332868433287
Chania,4149,38.9,13.64,2025-03-16,Sunday,54559,76.04611521472168,0.7129896075807841,0.2500045821954215,0.009375753193540611,0.003287539166064112
Patra,3584,32.9,5.72,2025-03-03,Monday,170755,20.989136482094228,0.19267371380047435,0.03349828701941378,0.0091796875,0.0015959821428571427
Patra,3794,34.4,7.41,2025-03-04,Tuesday,170755,22.218968697841937,0.20145822962724372,0.04339550818424058,0.009066947812335266,0.0019530838165524513
Patra,3948,32.1,5.19,2025-03-05,Wednesday,170755,23.120845656056925,0.18798863869286406,0.030394424760621947,0.008130699088145897,0.0013145896656534956
Patra,4102,35.4,8.43,2025-03-06,Thursday,170755,24.02272261427191,0.2073145735117566,0.04936897894644374,0.008629936616284738,0.002055095075572891
Patra,4438,36.7,9.35,2025-03-07,Friday,170755,25.990454159468243,0.2149278205616234,0.054756815320195606,0.008269490761604327,0.0021068048670572328
Patra,4816,38.3,11.81,2025-03-08,Saturday,170755,28.204152147814117,0.224297970776844,0.06916342127609734,0.00795265780730897,0.0024522425249169436
Patra,4634,37.1,10.92,2025-03-09,Sunday,170755,27.138297560832772,0.21727035811542855,0.06395127521888085,0.008006042296072508,0.0023564954682779456
Patra,3934,36.6,10.12,2025-03-10,Monday,170755,23.038856841673745,0.2143421861731721,0.059266200111270526,0.009303507880020335,0.0025724453482460596
Patra,4144,38.0,11.56,2025-03-11,Tuesday,170755,24.26868905742145,0.22254106761149015,0.0676993353049691,0.00916988416988417,0.00278957528957529
Patra,4298,38.4,12.33,2025-03-12,Wednesday,170755,25.17056601563644,0.2248836051652953,0.07220872009604404,0.00893438808748255,0.0028687761749651
Patra,4452,39.5,13.39,2025-03-13,Thursday,170755,26.072442973851423,0.23132558343825949,0.0784164446136277,0.008872416891284816,0.0030076370170709792
Patra,4802,40.3,15.08,2025-03-14,Friday,170755,28.122163333430937,0.23601065854586978,0.08831366577845451,0.008392336526447313,0.0031403581840899627
Patra,5180,40.0,16.76,2025-03-15,Saturday,170755,30.335861321776814,0.23425375538051593,0.09815232350443619,0.007722007722007722,0.0032355212355212356
Patra,4984,39.7,14.55,2025-03-16,Sunday,170755,29.18801792041229,0.2324968522151621,0.08520980351966267,0.007965489566613162,0.002919341894060995
Larissa,2079,33.3,6.49,2025-03-03,Monday,146595,14.181929806610048,0.22715645144786656,0.04427163272962925,0.016017316017316017,0.0031216931216931218
Larissa,2200,34.9,8.18,2025-03-04,Tuesday,146595,15.00733312868788,0.23807087554145775,0.05579999317848494,0.015863636363636364,0.003718181818181818
Larissa,2288,32.6,5.94,2025-03-05,Wednesday,146595,15.607626453835397,0.2223813909069204,0.04051979944745729,0.014248251748251749,0.002596153846153846
Larissa,2376,35.9,9.22,2025-03-06,Thursday,146595,16.207919778982912,0.24489239059995227,0.06289436883931922,0.015109427609427609,0.003880471380471381
Larissa,2574,37.2,10.14,2025-03-07,Friday,146595,17.55857976056482,0.2537603601759951,0.06917016269313415,0.014452214452214453,0.00393939393939394
Larissa,2794,38.7,12.6,2025-03-08,Saturday,146595,19.05931307343361,0.26399263276373686,0.0859510897370306,0.01385110952040086,0.004509663564781675
Larissa,2673,37.5,11.67,2025-03-09,Sunday,146595,18.233909751355775,0.25580681469354344,0.07960708073263072,0.014029180695847363,0.004365881032547699
Larissa,2288,37.1,10.75,2025-03-10,Monday,146595,15.607626453835397,0.2530782086701457,0.07333128687881578,0.016215034965034965,0.004698426573426573
Larissa,2409,38.4,12.2,2025-03-11,Tuesday,146595,16.43302977591323,0.2619461782461885,0.08322248371363279,0.01594022415940224,0.00506434205064342
Larissa,2497,38.8,12.98,2025-03-12,Wednesday,146595,17.033323101060745,0.26467478426958624,0.0885432654592585,0.01553864637565078,0.005198237885462555
Larissa,2585,39.9,14.0,2025-03-13,Thursday,146595,17.63361642620826,0.2721784508339302,0.09550121081892289,0.015435203094777562,0.005415860735009671
Larissa,2794,40.7,15.71,2025-03-14,Friday,146595,19.05931307343361,0.27763566288072583,0.10716600156894847,0.01456692913385827,0.005622763063707946
Larissa,3014,40.5,17.42,2025-03-15,Saturday,146595,20.5600463863024,0.2762713598690269,0.11883079231897406,0.013437292634372926,0.005779694757796948
Larissa,2893,40.2,15.21,2025-03-16,Sunday,146595,19.734643064224564,0.2742249053514786,0.10375524403970122,0.013895610093328726,0.005257518147251988
